Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20052889,FOC,Bad Words,,R,03/14/14,,"$7,779,163","$36,795","$7,815,958",6,"$113,301",3,,,1:29,Comedy,63,,Exclusive,
20055450,IDP,Better Living Through Chemistry,,NR,03/14/14,,"$75,143","$126,469","$201,612",61,"$46,435",3,,,1:31,"Comedy, Drama, Susp/Th",21,,Limited,
20055148,A24,Enemy,,R,03/14/14,,"$1,007,088","$2,400,000","$3,407,088",1,"$16,161",3,,,1:30,Susp/Th,74,,Exclusive,
20046529,DIS,Need For Speed,3D,PG13,03/14/14,DW,"$43,577,636","$162,544,440","$206,122,076",3115,"$17,844,939",3,2.40,1.90,2:04,Act/Adv,23,B+,Wide,
20053873,MAG,"Right Kind Of Wrong, The",,R,03/14/14,,"$2,098",,"$2,098",1,$593,3,,,1:37,Rom Com,12,,Limited,
20056168,OSC,Teenage,,NR,03/14/14,,"$37,090",,"$37,090",1,,3,,,1:20,Doc,80,,Exclusive,
20048304,LIO,Tyler Perry's The Single Moms Club,,PG13,03/14/14,,"$15,973,881","$391,110","$16,364,991",1896,"$8,075,111",3,2.00,1.60,1:51,"Drama, Comedy, Urb/Eth",17,A-,Wide,
20053928,WB,Veronica Mars,,PG13,03/14/14,,"$3,322,127","$194,893","$3,517,020",291,"$1,988,351",3,,,1:47,Drama,77,,Limited,
20071263,STR,"Missing Picture, The",,NR,03/19/14,,"$52,164",,"$52,164",1,"$10,148",3,,,1:32,"Drama, Art/For, Doc",,,Exclusive,NY
20055729,IDP,Anita,,NR,03/21/14,,"$176,979",,"$176,979",7,"$44,114",3,,,1:17,Doc,77,,Limited,
20051348,ROA,Blood Ties,,R,03/21/14,,"$42,472","$2,400,000","$2,442,472",28,"$26,912",3,,,2:08,Susp/Th,47,,Limited,
20047304,LIO,Divergent,IMAX,PG13,03/21/14,,"$150,947,895","$137,900,000","$288,847,895",3936,"$54,607,747",3,2.80,2.20,2:23,"Act/Adv, Sci/Fant",40,A,Wide,
20050347,IFC,French Gigolo,,NR,03/21/14,,"$2,559",,"$2,559",1,,3,,,1:44,"Drama, Art/For",,,Exclusive,
20054948,FRE,God's Not Dead,,PG,03/21/14,,"$60,755,732","$3,842,520","$64,598,252",780,"$9,217,013",3,6.60,4.70,1:53,Drama,13,,Wide,
20071189,VAR,It Felt Like Love,,NR,03/21/14,,"$34,787",,"$34,787",1,"$8,211",3,,,1:22,Drama,,,Exclusive,"NY, LA"
20052689,SCL,Jodorowsky's Dune,,PG13,03/21/14,,"$647,280","$28,891","$676,171",3,"$36,018",3,,,1:28,Doc,99,,Exclusive,NYC & LA
20045324,DIS,Muppets Most Wanted,,PG,03/21/14,,"$51,183,113","$29,200,000","$80,383,113",3194,"$17,005,126",3,3.00,2.30,1:52,"Child/Fam, Comedy, Live Act",79,B+,Wide,
20051888,MAG,Nymphomaniac Volume I,,NR,03/21/14,,"$785,896",,"$785,896",24,"$158,369",3,,,1:50,"Drama, Art/For",76,,Limited,
20054688,LIO,Cesar Chavez,,PG13,03/28/14,PNT,"$5,571,497","$1,140,100","$6,711,597",664,"$2,861,528",3,1.90,1.50,1:41,Drama,40,,Wide,
20055449,IFC,Finding Vivian Maier,,NR,03/28/14,,"$1,509,131","$103,675","$1,612,806",3,,3,,,1:24,Doc,96,,Exclusive,
